description,amount,type,payment_mode,category
Freelance graphic design,36818.7,Income,Online,Freelance
Dinner at restaurant,2456.74,Expense,Card,Food
Petrol for bike,18244.0,Expense,Card,Transport
Salary credited,26200.69,Income,Cash,Salary
Concert ticket,18799.61,Expense,Cash,Entertainment
Internet subscription,18231.74,Expense,Card,Utilities
Bus fare,24273.08,Expense,Cash,Travel
Bank transfer salary,40377.97,Income,Cash,Salary
Doctor consultation,5454.33,Expense,Bank Transfer,Health
Freelance writing payment,13988.54,Income,Cash,Freelance
Train ticket,2473.01,Expense,Online,Transport
Ordered food online,2018.14,Expense,Bank Transfer,Food
Flight ticket booking,2902.57,Expense,Online,Travel
Cab fare,46030.34,Expense,Bank Transfer,Transport
Monthly grocery shopping,30532.26,Expense,Card,Grocery
New shoes from mall,6704.07,Expense,UPI,Shopping
Train ticket,3198.68,Expense,Bank Transfer,Transport
Movie tickets,48954.44,Expense,Online,Entertainment
Medicine purchase,36304.02,Expense,Cash,Health
Apartment maintenance fee,48625.22,Expense,Card,Rent
Dinner at restaurant,22614.21,Expense,Cash,Food
Vegetables and fruits,20334.72,Expense,Cash,Grocery
Online course subscription,19480.76,Expense,Bank Transfer,Education
Salary credited,47752.23,Income,Cash,Salary
Monthly grocery shopping,11360.86,Expense,Online,Grocery
Vegetables and fruits,39151.98,Expense,Card,Grocery
Monthly grocery shopping,33283.01,Expense,Cash,Grocery
Flight ticket booking,4337.53,Expense,Online,Travel
Lunch at cafeteria,48747.02,Expense,Online,Food
Internet subscription,38978.79,Expense,Bank Transfer,Utilities
Water bill,19023.64,Expense,Online,Utilities
Internet subscription,13210.92,Expense,UPI,Utilities
Freelance writing payment,13657.49,Income,Bank Transfer,Freelance
Concert ticket,24801.87,Expense,Online,Entertainment
Shopping for birthday gift,4786.68,Expense,Cash,Shopping
Monthly gym subscription,42144.33,Expense,Bank Transfer,Fitness
Netflix subscription,21272.94,Expense,Cash,Entertainment
Lunch at cafeteria,13221.15,Expense,Bank Transfer,Food
Apartment maintenance fee,33680.28,Expense,Online,Rent
Movie tickets,1167.89,Expense,Bank Transfer,Entertainment
Electricity bill payment,121.84,Expense,Online,Utilities
Water bill,19105.78,Expense,UPI,Utilities
Hotel reservation,4496.21,Expense,Cash,Travel
College fee,17026.81,Expense,UPI,Education
Bought protein powder,46796.62,Expense,Bank Transfer,Fitness
Petrol for bike,43745.38,Expense,Bank Transfer,Transport
Bus fare,35337.47,Expense,UPI,Travel
Movie tickets,49271.2,Expense,Cash,Entertainment
Paid house rent,42757.38,Expense,Bank Transfer,Rent
Internet subscription,9794.66,Expense,Bank Transfer,Utilities
Cab fare,35005.97,Expense,Online,Transport
Vegetables and fruits,49643.31,Expense,Card,Grocery
Shopping for birthday gift,34695.51,Expense,Cash,Shopping
Shopping for birthday gift,1159.73,Expense,UPI,Shopping
Vegetables and fruits,10687.32,Expense,UPI,Grocery
Petrol for bike,41620.86,Expense,UPI,Transport
Paid house rent,37031.27,Expense,UPI,Rent
Flight ticket booking,12075.65,Expense,Card,Travel
Monthly gym subscription,49375.57,Expense,Card,Fitness
Netflix subscription,4283.54,Expense,UPI,Entertainment
Monthly rent,31757.74,Expense,Online,Rent
Doctor consultation,7201.35,Expense,Bank Transfer,Health
Petrol for bike,20054.7,Expense,UPI,Transport
Movie tickets,40602.4,Expense,UPI,Entertainment
Freelance web development,3076.25,Income,Online,Freelance
Electricity bill payment,11575.93,Expense,Online,Utilities
Medicine purchase,18107.52,Expense,UPI,Health
Apartment maintenance fee,30194.13,Expense,Bank Transfer,Rent
Hotel reservation,35980.59,Expense,UPI,Travel
College fee,17286.6,Expense,Online,Education
Bought clothes online,5242.74,Expense,Bank Transfer,Shopping
Freelance writing payment,24580.9,Income,Cash,Freelance
New shoes from mall,46643.9,Expense,Bank Transfer,Shopping
Medicine purchase,39737.46,Expense,Cash,Health
Monthly gym subscription,10117.16,Expense,Bank Transfer,Fitness
Water bill,7239.08,Expense,Online,Utilities
Monthly rent,16815.7,Expense,Online,Rent
Monthly rent,34114.65,Expense,Cash,Rent
Ordered food online,37876.06,Expense,Online,Food
Dinner at restaurant,18637.4,Expense,Card,Food
Yoga class payment,45553.54,Expense,UPI,Fitness
Cab fare,31791.8,Expense,UPI,Transport
Salary credited,42090.55,Income,UPI,Salary
Salary credited,48896.64,Income,Online,Salary
Monthly grocery shopping,19701.06,Expense,Card,Grocery
Bought groceries at supermarket,34259.48,Expense,Card,Grocery
Monthly salary received,34676.59,Income,UPI,Salary
Lab test fees,40793.17,Expense,Online,Health
Monthly gym subscription,10935.1,Expense,Bank Transfer,Fitness
College fee,21711.23,Expense,Bank Transfer,Education
Freelance graphic design,31547.8,Income,Online,Freelance
Electricity bill payment,21792.25,Expense,Online,Utilities
Bank transfer salary,1570.09,Income,Cash,Salary
Petrol for bike,6376.18,Expense,Online,Transport
Internet subscription,42691.98,Expense,UPI,Utilities
Ordered food online,34016.01,Expense,Cash,Food
Flight ticket booking,11447.58,Expense,Online,Travel
Netflix subscription,47081.62,Expense,Card,Entertainment
Lab test fees,20518.26,Expense,Bank Transfer,Health
Dinner at restaurant,30179.06,Expense,Online,Food
Freelance graphic design,20102.43,Income,Card,Freelance
Concert ticket,41658.5,Expense,UPI,Entertainment
Internet subscription,41342.9,Expense,UPI,Utilities
Apartment maintenance fee,26767.01,Expense,Cash,Rent
Flight ticket booking,25241.11,Expense,Bank Transfer,Travel
Medicine purchase,21064.89,Expense,Bank Transfer,Health
Freelance web development,46738.4,Income,Bank Transfer,Freelance
Yoga class payment,17627.74,Expense,Online,Fitness
Vegetables and fruits,21670.68,Expense,Card,Grocery
Paid house rent,41345.57,Expense,UPI,Rent
Netflix subscription,24921.51,Expense,Bank Transfer,Entertainment
Train ticket,3415.86,Expense,UPI,Transport
Lab test fees,560.78,Expense,Bank Transfer,Health
Freelance graphic design,8526.48,Income,Bank Transfer,Freelance
Medicine purchase,33524.51,Expense,Bank Transfer,Health
Bought groceries at supermarket,6075.63,Expense,UPI,Grocery
Internet subscription,28639.66,Expense,UPI,Utilities
Freelance web development,34752.01,Income,Cash,Freelance
Apartment maintenance fee,34302.01,Expense,Cash,Rent
Freelance web development,45364.16,Income,UPI,Freelance
Cab fare,21808.33,Expense,Online,Transport
College fee,37295.36,Expense,Online,Education
Freelance writing payment,26803.88,Income,UPI,Freelance
Dinner at restaurant,7175.48,Expense,Online,Food
Hotel reservation,41803.07,Expense,Online,Travel
Movie tickets,29894.4,Expense,Cash,Entertainment
Freelance writing payment,19600.91,Income,Bank Transfer,Freelance
College fee,14798.46,Expense,Online,Education
Freelance writing payment,47158.75,Income,Cash,Freelance
Monthly salary received,21426.76,Income,UPI,Salary
Netflix subscription,2904.33,Expense,Cash,Entertainment
Freelance web development,10685.71,Income,Card,Freelance
Hotel reservation,8780.91,Expense,Card,Travel
Bought textbooks,42598.89,Expense,UPI,Education
Apartment maintenance fee,39288.3,Expense,UPI,Rent
Ordered food online,36217.74,Expense,Online,Food
College fee,15487.69,Expense,Online,Education
Doctor consultation,28789.61,Expense,UPI,Health
Bought groceries at supermarket,1914.15,Expense,Bank Transfer,Grocery
Concert ticket,31092.68,Expense,Cash,Entertainment
Movie tickets,35833.42,Expense,Bank Transfer,Entertainment
Monthly rent,22458.38,Expense,Online,Rent
Cab fare,46287.34,Expense,UPI,Transport
Netflix subscription,21189.88,Expense,Bank Transfer,Entertainment
Flight ticket booking,47127.07,Expense,Online,Travel
Monthly salary received,48865.83,Income,UPI,Salary
Monthly salary received,27625.09,Income,Bank Transfer,Salary
Freelance graphic design,42290.51,Income,Card,Freelance
Online course subscription,20631.09,Expense,Card,Education
Lab test fees,20476.14,Expense,Card,Health
Monthly gym subscription,2818.59,Expense,Card,Fitness
Monthly rent,21045.62,Expense,UPI,Rent
Internet subscription,38034.84,Expense,Online,Utilities
Lab test fees,46733.84,Expense,Cash,Health
Internet subscription,21771.28,Expense,Card,Utilities
Salary credited,34636.75,Income,UPI,Salary
Monthly salary received,15939.69,Income,Card,Salary
Water bill,19979.48,Expense,Online,Utilities
Cab fare,16947.18,Expense,UPI,Transport
Online course subscription,9662.27,Expense,Online,Education
Water bill,4112.32,Expense,UPI,Utilities
Lunch at cafeteria,14658.58,Expense,Online,Food
Hotel reservation,37546.02,Expense,Cash,Travel
Petrol for bike,48618.05,Expense,Bank Transfer,Transport
Apartment maintenance fee,27105.1,Expense,Cash,Rent
Concert ticket,22824.59,Expense,Online,Entertainment
Lab test fees,44675.26,Expense,Bank Transfer,Health
Train ticket,26921.18,Expense,Bank Transfer,Transport
Train ticket,31376.81,Expense,UPI,Transport
Online course subscription,15491.1,Expense,Card,Education
Flight ticket booking,8548.35,Expense,UPI,Travel
Freelance writing payment,28669.78,Income,Online,Freelance
Bank transfer salary,38008.51,Income,Card,Salary
Doctor consultation,47027.39,Expense,Bank Transfer,Health
Bank transfer salary,30193.04,Income,Online,Salary
Paid house rent,29983.24,Expense,Online,Rent
Dinner at restaurant,6981.34,Expense,UPI,Food
Cab fare,5327.43,Expense,Cash,Transport
Salary credited,3336.23,Income,Bank Transfer,Salary
Petrol for bike,33860.14,Expense,Bank Transfer,Transport
Bank transfer salary,16605.02,Income,UPI,Salary
Netflix subscription,44344.67,Expense,UPI,Entertainment
New shoes from mall,10153.22,Expense,UPI,Shopping
Bought textbooks,33764.22,Expense,Cash,Education
Bank transfer salary,45100.3,Income,Card,Salary
Electricity bill payment,45124.3,Expense,UPI,Utilities
Shopping for birthday gift,37900.26,Expense,Online,Shopping
Dinner at restaurant,3934.55,Expense,UPI,Food
Medicine purchase,13771.5,Expense,Bank Transfer,Health
Petrol for bike,2142.12,Expense,UPI,Transport
Cab fare,38523.07,Expense,Online,Transport
Ordered food online,9162.72,Expense,UPI,Food
Lab test fees,41103.0,Expense,Cash,Health
College fee,3005.71,Expense,UPI,Education
Water bill,29018.7,Expense,Cash,Utilities
New shoes from mall,2582.24,Expense,Bank Transfer,Shopping
Monthly grocery shopping,41742.2,Expense,Cash,Grocery
Monthly grocery shopping,31950.27,Expense,Card,Grocery
Salary credited,24167.24,Income,Cash,Salary
Doctor consultation,34093.13,Expense,Bank Transfer,Health
Lab test fees,15100.05,Expense,UPI,Health
Monthly rent,35932.42,Expense,UPI,Rent
Flight ticket booking,42057.52,Expense,UPI,Travel
Online course subscription,21127.96,Expense,Cash,Education
Apartment maintenance fee,45022.15,Expense,Card,Rent
Bought clothes online,5664.71,Expense,Online,Shopping
Water bill,14390.48,Expense,Card,Utilities
Flight ticket booking,46602.32,Expense,Card,Travel
Freelance writing payment,13675.3,Income,Bank Transfer,Freelance
Netflix subscription,41060.69,Expense,Cash,Entertainment
Netflix subscription,32131.81,Expense,UPI,Entertainment
New shoes from mall,22163.09,Expense,UPI,Shopping
Medicine purchase,36247.84,Expense,UPI,Health
Concert ticket,47861.05,Expense,Card,Entertainment
Internet subscription,15463.37,Expense,Bank Transfer,Utilities
Online course subscription,28583.17,Expense,UPI,Education
Paid house rent,46260.21,Expense,Bank Transfer,Rent
Electricity bill payment,46921.92,Expense,Cash,Utilities
Dinner at restaurant,33353.85,Expense,Cash,Food
Bank transfer salary,648.72,Income,Card,Salary
Movie tickets,39327.22,Expense,Card,Entertainment
College fee,25151.48,Expense,Bank Transfer,Education
Cab fare,10884.32,Expense,Cash,Transport
Vegetables and fruits,18620.97,Expense,Cash,Grocery
Bank transfer salary,44062.49,Income,Bank Transfer,Salary
Dinner at restaurant,42450.32,Expense,Bank Transfer,Food
Online course subscription,1986.32,Expense,Cash,Education
Flight ticket booking,43130.11,Expense,Online,Travel
Flight ticket booking,10414.96,Expense,UPI,Travel
Monthly gym subscription,13058.71,Expense,Card,Fitness
Freelance graphic design,37414.4,Income,Card,Freelance
Bought textbooks,43341.82,Expense,UPI,Education
Monthly rent,25454.49,Expense,UPI,Rent
Doctor consultation,47874.31,Expense,Cash,Health
Lunch at cafeteria,16213.15,Expense,Card,Food
Monthly gym subscription,37083.77,Expense,Bank Transfer,Fitness
Internet subscription,32313.99,Expense,Cash,Utilities
Internet subscription,40744.31,Expense,Bank Transfer,Utilities
Train ticket,44739.87,Expense,Online,Transport
Movie tickets,11525.04,Expense,Online,Entertainment
Freelance graphic design,28436.64,Income,Card,Freelance
Hotel reservation,6020.31,Expense,Online,Travel
Lab test fees,44748.85,Expense,Online,Health
Bought protein powder,26959.16,Expense,Online,Fitness
Hotel reservation,48909.71,Expense,Cash,Travel
Concert ticket,24653.39,Expense,Online,Entertainment
Freelance graphic design,46588.12,Income,Bank Transfer,Freelance
Concert ticket,4599.94,Expense,Cash,Entertainment
Yoga class payment,21414.05,Expense,Cash,Fitness
Netflix subscription,23990.74,Expense,Card,Entertainment
Water bill,35920.85,Expense,Bank Transfer,Utilities
Vegetables and fruits,24040.55,Expense,Online,Grocery
Monthly grocery shopping,36557.06,Expense,Cash,Grocery
Water bill,18669.92,Expense,Cash,Utilities
Bus fare,39385.11,Expense,UPI,Travel
Movie tickets,7559.82,Expense,Bank Transfer,Entertainment
Shopping for birthday gift,48175.59,Expense,Card,Shopping
Bus fare,13638.79,Expense,UPI,Travel
Internet subscription,35273.71,Expense,Bank Transfer,Utilities
New shoes from mall,36110.48,Expense,UPI,Shopping
Hotel reservation,46534.99,Expense,Card,Travel
Paid house rent,33761.57,Expense,Bank Transfer,Rent
College fee,13283.39,Expense,Bank Transfer,Education
New shoes from mall,46237.47,Expense,Cash,Shopping
Freelance writing payment,6178.66,Income,Online,Freelance
College fee,30058.44,Expense,Bank Transfer,Education
Yoga class payment,14388.2,Expense,Cash,Fitness
College fee,12069.43,Expense,Bank Transfer,Education
Monthly grocery shopping,29627.97,Expense,UPI,Grocery
Flight ticket booking,49750.8,Expense,Cash,Travel
Bank transfer salary,11787.08,Income,Card,Salary
Paid house rent,28729.07,Expense,Card,Rent
Flight ticket booking,5807.74,Expense,Bank Transfer,Travel
Shopping for birthday gift,7631.7,Expense,UPI,Shopping
Hotel reservation,22947.93,Expense,UPI,Travel
Bank transfer salary,20150.02,Income,Online,Salary
Ordered food online,14276.36,Expense,UPI,Food
Medicine purchase,42898.52,Expense,UPI,Health
Paid house rent,20004.32,Expense,Cash,Rent
Concert ticket,15501.65,Expense,Online,Entertainment
Doctor consultation,19372.32,Expense,Bank Transfer,Health
Yoga class payment,38020.84,Expense,UPI,Fitness
Freelance graphic design,2541.89,Income,Card,Freelance
Flight ticket booking,15917.91,Expense,Card,Travel
Lab test fees,9533.4,Expense,Cash,Health
Monthly salary received,40121.78,Income,Cash,Salary
Freelance writing payment,9941.26,Income,UPI,Freelance
Petrol for bike,24537.91,Expense,UPI,Transport
Monthly gym subscription,43740.53,Expense,Cash,Fitness
Bought protein powder,35476.3,Expense,Cash,Fitness
Cab fare,12242.81,Expense,Bank Transfer,Transport
Bought clothes online,25490.16,Expense,Cash,Shopping
Shopping for birthday gift,39613.24,Expense,Cash,Shopping
Bank transfer salary,10564.59,Income,Cash,Salary
Vegetables and fruits,19379.16,Expense,Card,Grocery
Ordered food online,41395.42,Expense,Online,Food
Monthly grocery shopping,39706.14,Expense,Online,Grocery
Salary credited,25308.41,Income,UPI,Salary
Flight ticket booking,43174.46,Expense,Bank Transfer,Travel
Train ticket,42049.92,Expense,Cash,Transport
Petrol for bike,29684.17,Expense,Online,Transport
Bought clothes online,40836.96,Expense,Online,Shopping
Electricity bill payment,1816.42,Expense,Cash,Utilities
Monthly grocery shopping,30942.42,Expense,Online,Grocery
Bus fare,15543.0,Expense,Online,Travel
Bank transfer salary,36022.31,Income,Online,Salary
Concert ticket,22578.47,Expense,Bank Transfer,Entertainment
Concert ticket,37543.83,Expense,Card,Entertainment
Apartment maintenance fee,1224.84,Expense,Card,Rent
Freelance web development,43928.63,Income,Cash,Freelance
Water bill,27425.92,Expense,Online,Utilities
New shoes from mall,39585.56,Expense,Cash,Shopping
Vegetables and fruits,49647.11,Expense,Cash,Grocery
Bought groceries at supermarket,24439.8,Expense,UPI,Grocery
Doctor consultation,30354.63,Expense,UPI,Health
Monthly salary received,10808.41,Income,Online,Salary
Freelance graphic design,33109.41,Income,Bank Transfer,Freelance
Water bill,40058.06,Expense,Bank Transfer,Utilities
Dinner at restaurant,8951.84,Expense,Bank Transfer,Food
Flight ticket booking,24434.5,Expense,Cash,Travel
Monthly rent,13079.12,Expense,Online,Rent
Paid house rent,45208.56,Expense,Online,Rent
Dinner at restaurant,34681.97,Expense,Online,Food
Bus fare,22045.24,Expense,Bank Transfer,Travel
Medicine purchase,19811.19,Expense,Online,Health
Freelance writing payment,19537.4,Income,Bank Transfer,Freelance
College fee,27877.53,Expense,Card,Education
Hotel reservation,21358.73,Expense,Online,Travel
Bought groceries at supermarket,22369.4,Expense,Bank Transfer,Grocery
Freelance web development,6693.82,Income,Online,Freelance
Doctor consultation,24087.93,Expense,Cash,Health
Online course subscription,29328.79,Expense,Online,Education
Internet subscription,29383.39,Expense,Online,Utilities
Bus fare,49723.23,Expense,Card,Travel
Lunch at cafeteria,37033.16,Expense,Card,Food
Petrol for bike,16223.16,Expense,UPI,Transport
Hotel reservation,38709.05,Expense,Card,Travel
Freelance graphic design,2862.34,Income,UPI,Freelance
Online course subscription,29168.34,Expense,Card,Education
Internet subscription,40037.74,Expense,Bank Transfer,Utilities
Monthly grocery shopping,46304.71,Expense,Cash,Grocery
Monthly salary received,22211.44,Income,Online,Salary
Lunch at cafeteria,48189.64,Expense,Bank Transfer,Food
Movie tickets,14012.58,Expense,Online,Entertainment
New shoes from mall,40906.82,Expense,Bank Transfer,Shopping
Bus fare,31888.74,Expense,Bank Transfer,Travel
Lunch at cafeteria,24155.08,Expense,Online,Food
Internet subscription,32316.78,Expense,Bank Transfer,Utilities
Hotel reservation,41162.02,Expense,UPI,Travel
Petrol for bike,16059.35,Expense,Cash,Transport
Concert ticket,5910.18,Expense,UPI,Entertainment
Freelance web development,4397.5,Income,Cash,Freelance
Freelance web development,18159.02,Income,Online,Freelance
Water bill,40421.21,Expense,UPI,Utilities
Hotel reservation,11617.42,Expense,Card,Travel
New shoes from mall,13126.03,Expense,Online,Shopping
Yoga class payment,9243.55,Expense,Card,Fitness
Medicine purchase,34259.77,Expense,Online,Health
Cab fare,3131.74,Expense,Online,Transport
Bought textbooks,24321.1,Expense,Cash,Education
Netflix subscription,8148.97,Expense,Card,Entertainment
Netflix subscription,21348.32,Expense,Online,Entertainment
Doctor consultation,16036.35,Expense,Online,Health
New shoes from mall,6574.0,Expense,Online,Shopping
Hotel reservation,7227.85,Expense,Cash,Travel
Netflix subscription,15704.49,Expense,Online,Entertainment
Vegetables and fruits,37441.04,Expense,Online,Grocery
Hotel reservation,5128.25,Expense,Card,Travel
Bought protein powder,13141.63,Expense,UPI,Fitness
